"filename", "language", "toml", "pip requirements", "Python", "comment", "blank", "total"
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\directions\migrations\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\directions\models.py", "Python", 0, 0, 11, 1, 4, 16
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\directions\serializer.py", "Python", 0, 0, 12, 0, 4, 16
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\directions\tests.py", "Python", 0, 0, 1, 1, 2, 4
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\directions\urls.py", "Python", 0, 0, 6, 0, 3, 9
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\directions\views.py", "Python", 0, 0, 77, 2, 13, 92
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\employes\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\employes\admin.py", "Python", 0, 0, 3, 1, 3, 7
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\employes\apps.py", "Python", 0, 0, 3, 0, 3, 6
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\employes\migrations\0001_initial.py", "Python", 0, 0, 90, 1, 7, 98
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\employes\migrations\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\employes\models.py", "Python", 0, 0, 67, 0, 8, 75
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\employes\serializer.py", "Python", 0, 0, 35, 0, 9, 44
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\employes\tests.py", "Python", 0, 0, 1, 1, 2, 4
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\employes\urls.py", "Python", 0, 0, 7, 0, 3, 10
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\employes\views.py", "Python", 0, 0, 187, 8, 29, 224
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\entites\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\entites\admin.py", "Python", 0, 0, 3, 1, 4, 8
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\entites\apps.py", "Python", 0, 0, 3, 0, 3, 6
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\entites\migrations\0001_initial.py", "Python", 0, 0, 25, 1, 7, 33
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\entites\migrations\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\entites\models.py", "Python", 0, 0, 11, 1, 4, 16
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\entites\serializer.py", "Python", 0, 0, 12, 0, 4, 16
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\entites\tests.py", "Python", 0, 0, 1, 1, 2, 4
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\entites\urls.py", "Python", 0, 0, 6, 0, 3, 9
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\entites\views.py", "Python", 0, 0, 77, 2, 16, 95
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\fonctions\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\fonctions\admin.py", "Python", 0, 0, 3, 1, 4, 8
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\fonctions\apps.py", "Python", 0, 0, 3, 0, 3, 6
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\fonctions\migrations\0001_initial.py", "Python", 0, 0, 25, 1, 7, 33
